Dataset,Row ID,text,TARGET,MIGRANTS,POC,LGBT+,MUSLIMS,WOMEN,JEWS,other,DISABLED
DIALO_CONAN_Counterspeech,280,"It sounds like you think there's some sort of plot to replace white people, this really isn't the case. You've been reading too many conspiracy theories. I'd stop worrying things like this that aren't even problems if I were you, maybe you need to get a hobby.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4764,"Most Jews are pretty cool living with non Jews, so why beat them?",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,265,"I don't think that's true, some newspapers have referred to these areas as 'no go' areas but there's nothing to suggest anything would happen if you as a white person went there.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5344,"Migrants contribute to our society, and it would be shameful to keep them away.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6769,"Feminism is a movement for equality, and for women to have equality. It has nothing to do with oppression.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,1457,Jews have been part of our country since its creation and have always had a place here. Why would they be 'not welcome'?,['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,497,Our country offers enough homes for everyone. I also believe that being treated as a human being has always been pleasant. Don't they have the right?,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2624,"I don't understand why you'd think that way. I don't see any evidence that immigrants are the core of a problem, to this extent of generalisation.",MIGRANTS,1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,3507,There are people with disabilities all around the world. Their demand is to have their rights recognised. It is discrimination to not do so.,DISABLED,0,0,0,0,0,0,0.0,1.0
Multi_CONAN_Counterspeech,4660,"This is simply not true, but I'm guessing you're not a geneticist. Have you tired joining a library?.",POC,0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4038,"If you believe that women are only hoes or housewives, it's no wonder that no one wants to marry you",['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,227,Where did you read that? Are you sure that's true?,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6393,"Because we have God's laws on our side, we accept gay, lesbian and trans people.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5558,"National Socialism is an exploitative, criminal and barbaric ideology which has killed millions.",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,4832,"With this, there can be a rise in antisocial behavior, discrimination, violence...do you really think this is the right way?",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4239,"What made you think that women are always trying to attract someone? Women don't try to be attractive all the time, sometimes they are simply living their lives.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,3677,"Jews are part of our society, and they have the right to have their beliefs respected.",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,6434,The acceptance of cultural pluralism in society makes it more likely for minorities to be protected.,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,4453,"How about we stop promoting these beliefs and work on reducing the number of people that are induced to believe to these xenophobic and false claims, instead?",MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,2514,"The same could be said for all species, but especially about our species: homo sapiens. This is a special case. And people of colour are genetically homo sapiens.",['POC'],0,1,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2153,"The idea that all migrants are criminals is a myth. Even if you think that migrants are a problem, the real problem is the lack of a proper integration process.",MIGRANTS,1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6533,"If you really think that way only because some people have a different faith than you, you should reconsider your position. Ask yourself: would you like to be discriminated against in this way? Have you changed opinion now?",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,2852,The Jews are not the problem in the world. And the Jews have the right to be proud of their history and to be citizens of this country.,['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,4792,"Maybe get yourself a therapist and check your feelings. And if you're concerned about our country's safety, kindly check crime statistics first.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5160,"We allow people to choose how to live their life, so we must allow them to love who they want too.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,398,There is an overwhelming amount of evidence that the holocaust happened. There are concentration camps. There are millions of families who lost almost every member. The Jewish population in Europe declined drastically. Have you looked at any of this evidence?,['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,5704,"Migrants and asylum seekers are looking for work most of the time. Thieves come from any group of society, and crime is more a result of poverty than race.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5530,"To devalue these individuals by virtue of their sexual preference is dangerous to society as a whole, and is opposed to the goal of a just and fair society.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7253,"Gay people should be allowed to be a part of the world, it's their right to be free of discrimination. Being part of society regardless of sexuality is also a fundamental right, and it's not something that we can debate about.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,2159,So the EU must become a Border Patrol? Doesn't that undermine the whole idea of our European Union as an inclusive and open society?,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4146,"The vast majority of Muslims actually just want to live their lives, and they don't care if others are following sharia or not.",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7969,"It isn't about subverting the society, it's about respecting the wishes of others to be accepted and respected.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2713,"The doctrine of Islam is a religion, not a bad one. What's the reason you think this?",MUSLIMS,0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,3785,"Even if this is true, our values imply protection of minorities. This is why I support the rights of individuals to live as they wish, free from discrimination.",MIGRANTS,1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,575,"There are different sexual orientations. Being gay does not automatically make you mentally ill, and being straight does not automatically make you sane.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,418,"Maybe because theyre expressing themselves, or because they liked how they looked and wanted to share it, regardless of if men would like it too? Stop expecting women to cater to the male gaze.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,4872,"Humans are created equal, and it doesn't matter how much of an opinion you hold on the topic, everyone should respect people's personal choices.",WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,2896,Many Muslims have helped building our country. They are our brothers and sisters.,MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6981,"No one should be allowed to have this kind of power over a portion of the population. Even though you don't like gays, they have every right to remain here because they are people like everyone else.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6288,Islam is a religion that no one is forced to follow. It has nothing to do with cancer or sickness.,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,952,It is about equality. Your assertion that a women's empowerment movement is somehow about dissolving masculinity and allowing someone to be 'disempowered' is absolutely FALSE.,WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,4390,"Migrants are not ""greedy"" or ""immoral"". They are people, who came here to have a better life. It's just that some don't think of them as people anymore. If you don't, you might forget that we are people too. We should realise that we are all human.",MIGRANTS,1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,1099,"This is not true, in almost all cases they are eligible for our immigration status after passing a criminal background check.",MIGRANTS,1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6623,"Just to be clear: the idea of ""chosen people"" is seen by the Jews as an ethical responsibility, not as a moral superiority.",['JEWS'],0,0,0,0,0,1,0.0,0.0
Multi_CONAN_Counterspeech,3238,Immigrants have the right to learn about things they might not normally get to know about. Including our language.,MIGRANTS,1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,4100,"If they register to vote they should be allowed to vote, like everyone else.",WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,3468,I'm not sure where you are getting the idea that gypsies are not civilized. What do you mean?,other,0,0,0,0,0,0,1.0,0.0
DIALO_CONAN_Counterspeech,2602,"Migrants come here for a better life, not to disturb people.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,3953,"People with these very characteristics can be found in any group of people, whether you define them by religion, nationality or whatever trait you prefer.",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,6217,"Aren't you referring to Peter Pan Syndrome, which is more prevalent in men?",['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,3229,"At the end of the day, lies are simply a way for them to survive in an homophobic world. If we were to act more humanely, then they would not need to hide the truth.",LGBT+,0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5134,"homosexuality is a sexual orientation, the real disease is prejudice that is bad for society.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,4730,That is not true. All of us would be labelled a 'criminal' if we had a criminal record accounting for our diseases and problems.,DISABLED,0,0,0,0,0,0,0.0,1.0
DIALO_CONAN_Counterspeech,6416,What feminism does is to overcome these gender stereotypes to move towards a more equal society and towards equality for all people and genders.,['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,3711,Society often forces women to be submissive to their husbands. But this is a social construct based on false beliefs.,['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,3983,Women take part in the world and are part of it. They are part of history and they should be not relegated to being housekeepers.,WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,1537,"The problem with the current Islamic world order is not that they want to impose their religion on anyone else, but that there is no cohesion among them, so that they can speak with one voice.",MUSLIMS,0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2722,Muslims are part of our society. They have always contributed to our success. They are our brothers and sisters.,MUSLIMS,0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,4687,"I think that it is both sexist and also dangerous to promote a certain view of women, which is why I don't think your idea can stand.",WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,4878,"Women are not 'made for making food'. And the vast majority of them are not sexist, which means that they do not find it strange to express their own preferences.",WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,339,Still there are many more young immigrant men coming to the U.S. than young women. How can you explain this? Maybe they are planning to undergo sex reassignment surgery to have babies?,MIGRANTS,1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,1996,"Yes, the feminists are saying that the proportion of men in leadership positions is too high in many Western countries. But that is because the problem is structural. The problem is that too many women are being taught to be ""feminine"", thus making it hard for them to succeed.",WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,3729,"In my opinion, women and men should be treated as individuals, and the desire to be respected as such exists for a man and for a woman as well.",WOMEN,0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,5976,We shouldn't be so harsh. The fact that someone is LGBT doesn't make them a danger to society. They're like all of us.,['LGBT+'],0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2535,The idea that migrants are merely happy-go-lucky people with no code of their own is just wrong.,MIGRANTS,1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5601,"Anti-Muslim sentiment is common in our society, despite a lot of people not thinking so. This intolerance is very dangerous and you shouldn't spread it around further.",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,3066,It is easy to blame the migrants and not the problem of integration and acceptance in the first place.,MIGRANTS,1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,2451,"There are many women who want to be ""submissive to men"". Just as there are many men who want to be ""submissive to women"". We may not believe in absolute equality, but we all want to be treated equally.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,6204,"What you're suggesting is that men are superior to women, but gender equality isn't a myth. Our society became more inclusive thorugh free qill and evolution.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,4099,Stop dancing around. Maybe you should address the issue of gender equality more openly.,WOMEN,0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,2395,"The Quran has nothing to do with Terrorism, nor do the Hadiths and Sahih Muslim. Since you are talking about Islam, do you know what those are?",MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,3878,"They are not sick people, there is nothing wrong with loving someone.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,734,Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!,MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4436,"No, what I'm saying is that it's normal to see some areas with more Muslim population than others, but they are not 'taking over'. The towns where this happens are few, and they don't represent the country as a whole.",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,4532,Why should they be? They are just people with a different faith than you.,JEWS,0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,8118,I rarely read a book that was as peaceful as the Koran. What is your point?,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,3667,Do you know that in many countries in the world the majority of Muslims are in favour of the Constitution and in favour of democracy? Do you really think that a few extremists represent them all?,MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,871,Which suggests that white people like to cordon off areas for themselves...,['JEWS'],0,0,0,0,0,1,0.0,0.0
Multi_CONAN_Counterspeech,3196,"Surely it can only be good to a family, especially if the mother is an independent woman?",WOMEN,0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,1047,Most immigrants are not illegal. The fact that you say that shows a lack of knowledge of the country you live in. Why are you so sure that all migrants are illegal?,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2932,"Islam is an ideology and religion that promotes unity. It is about love, not death.",MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,1927,"It is not true that gays are a burden to society. On the contrary, many LGBT people are contributing members of our society. This is why we need a safe space for everyone to feel accepted.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,623,"Homosexuality is not harmful to the population. Homosexuality is not just a passing phase, and we should just get over the idea of banning it.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,4276,I don't understand why you feel that way about women. Don't you feel we should be giving them support? Doesn't it just seem a bit selfish to you not to help them in their fight for equality?,WOMEN,0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,743,"Women are just as capable of thinking for themselves, that's for sure.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,4255,"Racism is a part of our society. But it's also true that it should be fought, and all people of different races should be treated the same way.",POC,0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,1353,"Did you know that out of people receiving HIV care (for example in the UK), 48% were exposed through sex between a man and a woman, and 47% were exposed through sex between men? The fact is that heterosexual HIV transmissions outweigh those between homosexuals, and yet heterosexual people are not banned from donating blood. [link]",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,2628,"At present migrants sustain part of our pension system with their taxes. Most probably they will not even enjoy the retirement pension they are paying for, since they will mostly go back home.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,866,So much hatred. We must respect and understand all peoples.,MUSLIMS,0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,349,There is no evidence that terrorists are entering through the Mexican border.,MIGRANTS,1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,449,Don't you think that Islamophobic stereotype is getting a bit old now? Obviously they're not all terrorists are they.,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2704,It is a myth that all Muslims are incompatible. Many of them are very good at what they do. Have you ever heard about Dalia Mogahed? Her works on Muslim communities might interest you.,MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5090,"In the Quran you can find extracts that promote peace and harmony in the world, not conflict and hostility. What about it is incompatible?",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4021,It is possible to love one's country and one's religious home. The two are not exclusive.,['JEWS'],0,0,0,0,0,1,0.0,0.0
Multi_CONAN_Counterspeech,1707,I do not understand how the diversity of humanity can be said to be in contradiction with the very basic human values of love and respect that we are striving for.,MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7549,"It's not true that blacks are less capable of being civilized than anyone else, and they surely aren't the group in power at the moment. Children need to live in a diverse society to grow well.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,6546,"This make sense only if you believe that homosexuals are infected, but I don't.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5185,"Women are human beings. When someone teaches women that they are subhuman, then we have a problem.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,1902,I don't understand why you think this. The UK is one of the richest countries in the world and since the 8th century Muslims have been a part of it.,['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4474,Did you mean plastic pollution that Westerners dump in their countries? We literally send our garbage there to fill their landfills.,['POC'],0,1,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2547,"Since when? there is not such thing as ""modern world"", but there is 21th century Europe. And Islam is a contributing part of the 21th century Europe.",MUSLIMS,0,0,0,1,0,0,0.0,0.0
Multi_CONAN_Counterspeech,2633,"Muslims have contributed with their scientific and technological achievements, which have greatly aided our world. For instance, algorithms.",MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,3624,"Refugees have fled wars and persecution. We are a huge help for them and they are, in turn, a help to our country.",['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,715,"There are still groups trying to reverse legal protections for women's rights that have only existed since the last century. Even if one were to suppose that womend didn't need more rights, we need feminists just to keep things from going backwards.",WOMEN,0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,2953,"What about other groups of people in our society that make too much money and are not Jewish, do you agree with them?",['JEWS'],0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,7542,"No, someone can't be deported just because they are not white. What you say about black people is wrong.",['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4650,The majority of immigrants are workers that greatly contribute to our country. If we refer to them as thieves we're only creating more division and making them second class citizens.,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,1416,Isn't racism why there is violence in the first place?,['POC'],0,1,0,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,5989,Equal rights are granted to everyone under the European Convention on Human Rights and the US Constitution. Sexual orientation doesn't change this fact.,['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7809,"This is a made up stereotype. A lot of Muslims are good, respectful and peaceful people.",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,417,"If its not attractive, what made you think these women were trying to attract anyone anyway? Women arent trying to be attractive 24/7, sometimes theyre just trying to live their lives.",['WOMEN'],0,0,0,0,1,0,0.0,0.0
Multi_CONAN_Counterspeech,2148,Migrants bring skills and experience. They are often better at integrating than natives.,MIGRANTS,1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,1788,"We live in a complex and diverse world: I find it strange that men still feel this way about women, and that they don't consider women as human as they are, and to be worth valuing as such.",WOMEN,0,0,0,0,1,0,0.0,0.0
DIALO_CONAN_Counterspeech,5049,They should have a say since they contributed a lot to our country over many generations.,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,1582,"The problem of anti-Semitism in the UK is far from over, if you are concerned about Jewish people, maybe think about the rise of anti-Semitism instead.",JEWS,0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,915,"Some women can be men and some men can be women. It is not a crime to be transgender. Because in the end, we are all created equal. It does not matter what the 'original' gender is.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4878,"This website is not reliable since it promotes ""reorientation therapy"", which is not backed up by science. The owners probably profit from misinformation and bad stereotypes about gay people.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
Multi_CONAN_Counterspeech,999,"Jews are part of most societies, why should we lose that part of our history?",JEWS,0,0,0,0,0,1,0.0,0.0
DIALO_CONAN_Counterspeech,5839,"Have you considered the money they contribute to our economy, their expertise, knowledge, culture and delicious food?",['MUSLIMS'],0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,7883,"We should take a stand against homophobia in society, not against gay people.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,4736,"The reality is a lot simpler. Individuals that identify as Jews have been successful in societies like the United States because here the rights and freedoms of everyone are respected, and that holds true for any other religious or ethnic group.",['JEWS'],0,0,0,0,0,1,0.0,0.0
Multi_CONAN_Counterspeech,2434,"I'm sorry for being rude, but no one asked you for your opinion on Islam. Also, there is no evidence for what you say, so why do you think this information is reliable?",MUSLIMS,0,0,0,1,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,562,"No. Sexual abuse, physical abuse and even the lack of security are harmful to the overall health of a society.",['LGBT+'],0,0,1,0,0,0,0.0,0.0
DIALO_CONAN_Counterspeech,1915,Many immigrants have brought skills and culture to our country. Why should they be a burden in our society?,['MIGRANTS'],1,0,0,0,0,0,0.0,0.0
